node_id,x,y,theta,v,w,parent_id
1862,1.4898338048320159,-2.729724053509803,15.529461549582564,-2.262005225006426,4.538774072443894,1688
1863,33.56087576719301,-4.618084214153964,9.851561658413432,-3.8392514252658723,4.178325715731233,1080
1864,-0.2729857703137806,-1.447881485439566,-4.729098147304668,-1.6892736594478852,-1.2729510863249236,1327
1865,-34.44649187140973,-11.795727543793776,4.032869005312698,7.550948613394104,-3.4109742928030253,1845
1866,-31.131648150029633,-4.894992385940812,0.5493618493968571,6.644587015676848,-2.1047747279061757,1822
1867,-1.9841032851835314,6.481051982687009,12.71597226210408,1.2970532862787074,2.9718429233647816,1846
1868,22.132821602720412,-2.9558699650134184,-5.066530864722696,-1.484875964057695,-2.6681195579808494,342
1869,41.464675788676686,-38.749108677361534,1.55503698502326,1.483802978624353,1.7939853071318708,8
1870,-35.837261117499104,-20.727527527434443,8.214156606636953,5.200880878271178,-0.7969029515611675,1788
1871,17.77214855867095,-26.946258888955644,10.297013767272391,-0.16654211700196642,1.4855323702933239,1360
1872,-23.12807897247867,-28.382502360765095,-0.2859204152844827,3.744633186497606,1.7920232837942442,1510
1873,12.182270520327279,-33.72427923029188,3.8715298495050114,-0.732427106041556,-1.303381605801229,1493
1874,31.466909380321383,-25.38768525614528,-1.2659029166497169,-8.625206541948569e-2,-0.8016161211120504,1056
1875,26.261943752310216,-7.412525349560341,10.855684512509193,-0.3318589407753397,2.974817611817777,1650
1876,8.142711600654634,-9.14199433476026,9.015484090090979,-0.3231195893065017,-1.1498748796522078,477
1877,-6.9982983911015735,-3.9070959984237508,-6.08865241301296,-4.246196483752585,0.41973312870829604,1653
1878,-2.3240195800990393,0.5815395604815354,-8.535193823522244,-3.624591713356664,-1.121686299279586,1526
1879,-26.702178686275428,-24.554179911221166,9.8887921487636,1.877222369272198,0.8041642327793633,1723
1880,-42.11334363105408,-14.432133457814809,10.791458246427565,2.865761293333313,1.550005312355284,1860
1881,-35.942827826078705,-17.84960784018214,7.450785748454061,4.165779927621537,-1.6264965982257793,1870
1882,18.47627510765212,-33.81187722965275,-1.8173935269633177,0.6375381515035432,1.4378376199705811,1839
1883,-35.78990346067764,-7.8457751655078605,-8.807597164685058e-2,6.9007068625437045,-2.6941293767666754,1865
1884,17.347779051081513,-26.656848345179025,10.88300820448236,-0.7426437540136566,0.26545132704910696,813
1885,18.79184345233342,-1.2063268620565821,11.545791155465187,-1.5740218606594762,0.1200862721585783,937
1886,-33.73933027166391,-9.246366133125381,-1.1148657206647659,7.130605662406845,-2.8560854827896223,1883
1887,0.3834302577260148,1.0102727270550615,-6.507601184378983,7.0113585610020435,-2.6359113949323323,1252
1888,35.515965056434695,-40.77303218952067,3.409889145567859,-1.0095615597965077,-0.49126383907587434,1672
1889,12.556214436262232,-33.50588399790138,3.405942808556053,-1.092065370143272,-0.856840234608948,1493
1890,28.921810967558176,-31.503393050945512,11.379738017776779,-1.9998051908356784,-0.3563458661192305,1787
1891,-27.471257690350868,-14.364509166768176,18.042194889357486,0.1681064054136315,4.523178494561375,1828
1892,-11.801740006514576,0.9476484705300849,-8.111549261029502,-4.034458965910362,-1.1334624106058975,1641
1893,12.789616098359186,-39.351081268551624,-0.524731328255752,2.58966797808393,1.6371143069652165,571
1894,11.35006763485077,-23.47939314142742,-3.871026163555627,-1.5390090946175348,-3.104764400189192,603
1895,23.855818762185194,-38.745246722512285,-6.900699989584118,-1.1978590588497469,-1.101233843505746,289
1896,25.14622281983268,-32.93959978334235,-1.7820873541568913,0.10098555508985078,2.2113866365464028,558
1897,42.11828325682873,-9.382235054565676,0.7097786779893277,1.5945665769685866,3.396473747668455,787
1898,-27.51821613991239,-14.362825309790278,15.075004292118665,-0.36600520337131337,5.006153187742975,1828
1899,40.131368713771565,-19.76982278693384,5.180396589031634,2.6240583993357465,1.5694834654170084,1858
1900,-35.68168009606308,-17.384634986680453,7.229395297741833,4.055454797477549,-1.7795103358084925,1881
1901,-10.034091792505286,0.262284752963226,-2.500976430567238,2.099588255390479,-1.645487872763296,1555
1902,11.440634892689618,-23.855090180726727,0.18831848814564872,0.5699150961577889,-3.0379798307916146,1483
1903,34.86034710643787,-8.977687328503373,5.216014120773617,-0.7944270131254424,-2.1632745330043868,1569
1904,28.609955041737344,-39.7670586169699,-4.815156818892153,2.3420846372286213,1.2833083578321733,1703
1905,-29.064784293716688,-9.982913781123681,-4.230297416404319,-8.506343345605302e-2,-4.262432870273572,1826
1906,33.650876026839434,-15.014002466450897,13.711814139481993,0.6407317442531958,6.091528059074051,1608
1907,-22.73432605767461,-26.881554909061844,7.284720044630876,0.6890507238847794,3.712752579718416,1571
1908,43.55981651032255,-8.38125236654485,-4.005715398260269,3.155631726745541,1.4973942531907791,787
1909,-2.7596313791219647,11.340245933099823,15.056308506866753,5.657288358063552,0.3158667751258042,1846
1910,22.67335647907453,-15.698921109597194,10.42617912496779,-2.0686602629305955,1.4065375503602295,746
1911,30.95150561465602,-11.075824905699237,-4.375696415932335,0.3217477491054557,0.5252073995229455,1677
1912,-17.580519472537137,-15.261271659829198,4.08920045736956,-0.7066037388432911,-2.2020978899624722e-2,1779
1913,-2.4651447438705896,5.796232944292493,9.49418477822153,-3.7059892639831444,4.631517881532961,1815
1914,13.833868439483139,-8.810031504297823,-3.2378974376148015,-2.3793901007376372,-1.899989606670207,1093
1915,11.796580065387701,-23.197310144407382,-0.5297494055841246,3.605717997326793,-3.018927635547742,516
1916,-13.603724809178162,-20.770477331188694,4.755952154343148,-5.922046772738154,2.4495812735818343,1748
1917,28.852237242058383,-24.71511358428592,14.210556793859508,2.250086580108988,1.7357667826249616,1033
1918,29.044947969843683,-38.81289236389059,-0.43106455617912165,1.1496469604386745,-5.029598408599891,1410
1919,-22.882607842281647,-28.368972792189513,-1.755344171758455e-2,2.8124192491091495,2.0702456944113643,1510
1920,15.516085568665956,-39.99344329548962,10.261836759104066,-2.1055415510450026,1.7889784726195093,905
1921,24.873581870048422,-19.93217714718821,-2.8641696681980453,-5.427636744919464,1.8600729217813823,867
1922,-39.71682752376788,-14.667828037721302,6.589795015949371,-0.5386603841997439,-1.0430271457110694,1849
1923,11.372716296297023,-3.4064856636756002,-0.623397178811761,6.121794652002718,-0.9308961532505509,1520
1924,35.479266011251184,-28.20083302238017,3.2320911796506104,2.936250694903081,0.3974556676012886,1859
1925,35.32586034164281,-40.83764241794625,3.529562415881145,1.0240828102508608,0.725900922133743,1672
1926,37.76296493137764,-13.062543228065252,-7.233064803443422,-6.909104508528606,-3.194374713155315,199
1927,42.495684566963966,-20.435707512143814,-1.6442031984167167,-4.077796957482219,1.27922076378495,838
1928,23.986054948446764,-24.544707498592402,2.8564535361765206,3.837718424895129,2.558439967708663,874
1929,34.490222975631525,-21.737819104551992,-1.8321723752491588,0.44949116174492826,-0.5344999521883953,325
1930,9.908580337289909,-23.837566172093695,1.5326455867531183,3.6381819797961663,-1.732588055944473,237
1931,-18.261909509882685,-16.066068783328816,1.803058711618973,1.4461174614580306,-3.237409284818392,1770
1932,-17.223265476218266,-21.236660660097147,-4.339976805475649,7.25032164276263,-2.3644942205518613,1797
1933,29.185474383962134,-41.647617258064045,-4.337620025163671,-2.3652766587942873,-0.29936200654376455,1269
1934,42.94139029012526,-20.059878770532368,-2.7753246650516625,-1.2141565913794896,-1.9663801052746073,1209
1935,-17.827871502647756,-19.53489850059441,-2.4151179883009215,4.313190527887046,-0.5120811151103901,1931
1936,18.737515611699315,-42.08686599829494,-1.3608563648097391,2.5895988518781525,-1.1678297220881706,1342
1937,27.140304584754542,-11.945511189713049,-2.9713433082728162,2.30423197984918,-5.225036247870968,220
1938,37.170637630975165,-1.7799013629312472,14.891432079317973,3.437470627466126,4.459013886878403,1561
1939,-2.2679122929642412,9.073044365184794,15.331400824787622,3.8700632553794505,1.3382488964728068,1846
1940,44.26961092422307,-10.186271729695877,-4.892821343608344,3.1174739810527505,0.9351530135622003,390
1941,26.77045044683308,-28.290821234002735,-2.460938686816239e-2,3.212005044051104,-1.6452271724947196,167
1942,9.230750351039136,-15.988020476431009,-3.5550667102110447,-1.7143975238721487,-3.423659388389521,1069
1943,23.146622996639266,-14.213423930600458,8.87579734733039e-2,0.9348719553373498,-1.688214245203667,1173
1944,41.673947862008504,-19.936664812175415,13.120666617677227,5.914223796602039,4.363441717725688,1392
1945,-5.634089884793819,8.325683293169462,16.13869704752261,4.459909144465441,0.3319127324747948,1846
1946,-8.596928259375852,-4.463472270790603,3.168756846725121,5.086850890815604,-5.886690114093886e-2,1213
